Anode_Alloy,Anode_Table1_Group,Anode_Group_ID,Cathode_Alloy,Cathode_Table1_Group,Cathode_Group_ID,Potential_Difference_V,Environment,Electrolyte_Conductivity_Sm,Cathode_Anode_Area_Ratio,R_p_Anode_Ohm_m2,R_p_Cathode_Ohm_m2,Target_Galvanic_Current_Density,PDF_Compatibility_Status
Chlorimet 2,"Nickel, Cobalt",16,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.1,Marine (Seawater),5.0,0.795,2.0,1.0,0.025928,Compatible
Zinc,"Zinc, Zinc Coating",2,Copper,"Copper-High Nickel, Monel",15,0.83,Marine (Seawater),5.0,0.664,0.1,1.0,0.397945,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Graphite,Graphite,20,0.23,Industrial (Acidic Rain),0.1,0.898,5.0,10.0,0.008118,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,0.04,Industrial (Acidic Rain),0.1,1.839,0.3,5.0,0.004566,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.56,Marine (Seawater),5.0,1.166,0.3,5.0,0.114633,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.1,Rural (Freshwater),0.01,0.299,1.0,5.0,0.000294,Compatible
Copper,"Copper-High Nickel, Monel",15,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.08,Marine (Seawater),5.0,0.363,1.0,1.0,0.013075,Compatible
Nickel (passive),"Nickel, Cobalt",16,Silver,Silver,18,0.16,Rural (Freshwater),0.01,0.458,2.0,10.0,0.000665,Compatible
Cadmium,"Cadmium, Beryllium",3,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.92,Rural (Freshwater),0.01,0.352,0.1,10.0,0.002946,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,0.91,Rural (Freshwater),0.01,1.966,0.1,0.1,0.015785,Unfavorable
"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,Silver,Silver,18,0.08,Industrial (Acidic Rain),0.1,1.395,2.0,10.0,0.005192,Compatible
Cadmium,"Cadmium, Beryllium",3,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.53,Rural (Freshwater),0.01,12.273,0.1,1.0,0.062741,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.15,Rural (Freshwater),0.01,0.067,1.0,5.0,9.5e-05,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.71,Industrial (Acidic Rain),0.1,2.508,0.3,10.0,0.081771,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.16,Marine (Seawater),5.0,1.764,2.0,1.0,0.096377,Compatible
Tin,"Tin, Tin-Lead, Indium",8,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.34,Marine (Seawater),5.0,0.829,0.3,5.0,0.051515,Compatible
Lead,Lead,7,Nickel (passive),"Nickel, Cobalt",16,0.35,Marine (Seawater),5.0,1.548,0.3,2.0,0.200197,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Titanium,Titanium,17,0.79,Marine (Seawater),5.0,1.695,0.1,10.0,0.130425,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Copper,"Copper-High Nickel, Monel",15,0.15,Industrial (Acidic Rain),0.1,3.283,2.0,1.0,0.039224,Compatible
Inconel (active),"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.57,Rural (Freshwater),0.01,0.231,2.0,10.0,0.001148,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Nickel (passive),"Nickel, Cobalt",16,0.3,Rural (Freshwater),0.01,2.559,0.3,2.0,0.007717,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.5,Marine (Seawater),5.0,7.397,0.3,5.0,0.725545,Unfavorable
Silver solder,Silver,18,Titanium,Titanium,17,0.2,Industrial (Acidic Rain),0.1,5.695,10.0,10.0,0.039635,Compatible
Magnesium and magnesium alloys,Magnesium,1,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,1.42,Industrial (Acidic Rain),0.1,1.407,0.1,1.0,0.172639,Unfavorable
Lead,Lead,7,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.43,Industrial (Acidic Rain),0.1,1.381,0.3,2.0,0.044892,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.28,Industrial (Acidic Rain),0.1,1.292,2.0,5.0,0.021212,Compatible
Lead,Lead,7,Tin,"Tin, Tin-Lead, Indium",8,0.05,Marine (Seawater),5.0,0.279,0.3,0.3,0.016782,Compatible
Tin,"Tin, Tin-Lead, Indium",8,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.27,Marine (Seawater),5.0,1.352,0.3,1.0,0.230175,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.36,Marine (Seawater),5.0,29.539,5.0,1.0,1.682459,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Steel or iron,"Steels-Carbon, Low Alloy",6,0.08,Marine (Seawater),5.0,0.342,0.1,0.3,0.04421,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.03,Rural (Freshwater),0.01,2.011,5.0,0.3,0.000583,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Titanium,Titanium,17,0.63,Rural (Freshwater),0.01,0.415,5.0,10.0,0.002251,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Inconel (active),"Nickel, Cobalt",16,0.35,Marine (Seawater),5.0,0.204,0.1,2.0,0.032624,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Graphite,Graphite,20,0.23,Marine (Seawater),5.0,0.308,5.0,10.0,0.004705,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.08,Marine (Seawater),5.0,0.901,1.0,1.0,0.030763,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Nickel (active),"Nickel, Cobalt",16,0.22,Rural (Freshwater),0.01,0.351,5.0,2.0,0.000731,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.4,Industrial (Acidic Rain),0.1,0.374,0.1,2.0,0.012616,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Graphite,Graphite,20,0.31,Rural (Freshwater),0.01,27.039,1.0,10.0,0.075686,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.36,Marine (Seawater),5.0,7.718,1.0,10.0,0.256795,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Nickel (active),"Nickel, Cobalt",16,0.18,Industrial (Acidic Rain),0.1,7.214,5.0,2.0,0.078736,Compatible
Cadmium,"Cadmium, Beryllium",3,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.2,Marine (Seawater),5.0,0.945,0.1,0.3,0.290216,Compatible
Zinc,"Zinc, Zinc Coating",2,Chlorimet 2,"Nickel, Cobalt",16,0.75,Marine (Seawater),5.0,3.218,0.1,2.0,1.035389,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.16,Marine (Seawater),5.0,0.263,2.0,1.0,0.012586,Compatible
Magnesium and magnesium alloys,Magnesium,1,Cadmium,"Cadmium, Beryllium",3,0.9,Rural (Freshwater),0.01,0.109,0.1,0.1,0.000919,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Titanium,Titanium,17,0.29,Marine (Seawater),5.0,0.569,1.0,10.0,0.01543,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.2,Marine (Seawater),5.0,1.505,0.1,5.0,0.058159,Unfavorable
Lead,Lead,7,Chlorimet 2,"Nickel, Cobalt",16,0.19,Marine (Seawater),5.0,11.513,0.3,2.0,0.840413,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.1,Rural (Freshwater),0.01,0.514,2.0,1.0,0.000481,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Tin,"Tin, Tin-Lead, Indium",8,0.08,Rural (Freshwater),0.01,3.748,0.3,0.3,0.003057,Compatible
Silver,Silver,18,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.12,Marine (Seawater),5.0,0.549,10.0,10.0,0.003089,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.46,Marine (Seawater),5.0,2.622,0.3,2.0,0.494785,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Silver,Silver,18,0.61,Rural (Freshwater),0.01,0.207,5.0,10.0,0.001047,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.39,Industrial (Acidic Rain),0.1,0.75,5.0,1.0,0.01922,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Nickel (passive),"Nickel, Cobalt",16,0.41,Industrial (Acidic Rain),0.1,0.989,5.0,2.0,0.022224,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Nickel (passive),"Nickel, Cobalt",16,0.45,Industrial (Acidic Rain),0.1,0.303,5.0,2.0,0.008242,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Titanium,Titanium,17,1.09,Marine (Seawater),5.0,0.67,0.1,10.0,0.072308,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.32,Rural (Freshwater),0.01,3.444,5.0,10.0,0.009384,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.43,Marine (Seawater),5.0,3.301,0.3,1.0,0.96917,Unfavorable
Lead,Lead,7,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.14,Rural (Freshwater),0.01,11.278,0.3,2.0,0.017314,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.45,Industrial (Acidic Rain),0.1,1.71,0.3,5.0,0.053956,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Titanium,Titanium,17,0.75,Marine (Seawater),5.0,1.613,0.1,10.0,0.120552,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.15,Industrial (Acidic Rain),0.1,18.247,1.0,5.0,0.171608,Compatible
Zinc,"Zinc, Zinc Coating",2,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.95,Rural (Freshwater),0.01,2.857,0.1,5.0,0.027742,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.08,Rural (Freshwater),0.01,7.612,0.3,5.0,0.005519,Compatible
Inconel (active),"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.57,Marine (Seawater),5.0,0.112,2.0,10.0,0.005078,Compatible
Silver solder,Silver,18,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.06,Rural (Freshwater),0.01,0.308,10.0,5.0,0.000153,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.06,Marine (Seawater),5.0,16.849,0.3,0.3,1.21724,Compatible
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,Nickel (passive),"Nickel, Cobalt",16,0.03,Rural (Freshwater),0.01,1.647,1.0,2.0,0.000453,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.45,Rural (Freshwater),0.01,0.399,5.0,5.0,0.001552,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.14,Marine (Seawater),5.0,0.678,0.1,0.3,0.15329,Unfavorable
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.2,Industrial (Acidic Rain),0.1,0.702,2.0,10.0,0.006368,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.42,Rural (Freshwater),0.01,0.679,0.3,5.0,0.002814,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.66,Marine (Seawater),5.0,0.431,0.1,2.0,0.127946,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.14,Industrial (Acidic Rain),0.1,3.032,0.1,0.3,0.038944,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.29,Rural (Freshwater),0.01,1.427,2.0,2.0,0.004082,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.5,Rural (Freshwater),0.01,0.155,0.1,1.0,0.000708,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.16,Industrial (Acidic Rain),0.1,5.28,1.0,10.0,0.040754,Compatible
"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,Graphite,Graphite,20,0.17,Rural (Freshwater),0.01,2.899,2.0,10.0,0.004321,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Silver solder,Silver,18,0.03,Industrial (Acidic Rain),0.1,0.461,1.0,10.0,0.000611,Compatible
Chlorimet 2,"Nickel, Cobalt",16,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.24,Industrial (Acidic Rain),0.1,0.299,2.0,2.0,0.004971,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Silver,Silver,18,0.65,Marine (Seawater),5.0,3.895,0.3,10.0,0.270348,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.1,Marine (Seawater),5.0,0.426,1.0,5.0,0.006657,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.75,Industrial (Acidic Rain),0.1,3.301,5.0,10.0,0.099484,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.34,Marine (Seawater),5.0,2.883,1.0,10.0,0.086243,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Silver,Silver,18,0.73,Rural (Freshwater),0.01,0.238,0.1,10.0,0.001555,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.46,Marine (Seawater),5.0,0.322,0.1,1.0,0.115686,Unfavorable
Zinc,"Zinc, Zinc Coating",2,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.98,Rural (Freshwater),0.01,6.96,0.1,5.0,0.060269,Unfavorable
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.0,Marine (Seawater),5.0,1.025,2.0,2.0,0.0,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.73,Rural (Freshwater),0.01,3.519,5.0,10.0,0.0228,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Titanium,Titanium,17,0.59,Marine (Seawater),5.0,1.318,5.0,10.0,0.050986,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Silver solder,Silver,18,0.03,Industrial (Acidic Rain),0.1,0.867,1.0,10.0,0.001106,Compatible
Zinc,"Zinc, Zinc Coating",2,Gold,"Palladium, Rhodium, Gold, Platinum",19,1.19,Marine (Seawater),5.0,0.725,0.1,10.0,0.075812,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Silver solder,Silver,18,0.39,Marine (Seawater),5.0,0.4,5.0,10.0,0.010039,Compatible
Zinc,"Zinc, Zinc Coating",2,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.99,Rural (Freshwater),0.01,1.18,0.1,2.0,0.010749,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.32,Marine (Seawater),5.0,0.671,0.3,1.0,0.143232,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.44,Rural (Freshwater),0.01,5.249,2.0,10.0,0.020432,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.03,Industrial (Acidic Rain),0.1,0.121,1.0,1.0,0.000347,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Copper,"Copper-High Nickel, Monel",15,0.03,Rural (Freshwater),0.01,6.183,1.0,1.0,0.001889,Compatible
Nickel (active),"Nickel, Cobalt",16,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.02,Industrial (Acidic Rain),0.1,2.347,2.0,2.0,0.002903,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.02,Marine (Seawater),5.0,0.174,1.0,1.0,0.001647,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.36,Industrial (Acidic Rain),0.1,0.286,5.0,1.0,0.006498,Compatible
Graphite,Graphite,20,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.03,Industrial (Acidic Rain),0.1,3.204,10.0,10.0,0.00321,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.16,Marine (Seawater),5.0,0.525,2.0,1.0,0.026145,Compatible
Cadmium,"Cadmium, Beryllium",3,Graphite,Graphite,20,0.83,Marine (Seawater),5.0,0.963,0.1,10.0,0.079925,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.52,Industrial (Acidic Rain),0.1,5.756,0.1,1.0,0.250893,Unfavorable
Zinc,"Zinc, Zinc Coating",2,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.99,Rural (Freshwater),0.01,0.159,0.1,2.0,0.001642,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.57,Industrial (Acidic Rain),0.1,0.136,0.1,1.0,0.007183,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Silver,Silver,18,0.24,Marine (Seawater),5.0,5.085,1.0,10.0,0.105643,Compatible
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.2,Rural (Freshwater),0.01,35.971,2.0,10.0,0.063583,Compatible
Chlorimet 2,"Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.2,Rural (Freshwater),0.01,25.164,2.0,5.0,0.047996,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Silver solder,Silver,18,0.19,Industrial (Acidic Rain),0.1,1.114,2.0,10.0,0.009357,Compatible
Magnesium and magnesium alloys,Magnesium,1,Tin,"Tin, Tin-Lead, Indium",8,1.18,Industrial (Acidic Rain),0.1,4.064,0.1,0.3,0.444441,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Copper,"Copper-High Nickel, Monel",15,0.33,Rural (Freshwater),0.01,2.096,5.0,1.0,0.006769,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Inconel (active),"Nickel, Cobalt",16,0.2,Rural (Freshwater),0.01,14.544,0.3,2.0,0.028233,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.16,Industrial (Acidic Rain),0.1,3.679,2.0,1.0,0.042685,Compatible
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.19,Industrial (Acidic Rain),0.1,63.553,1.0,10.0,0.561888,Compatible
Nickel (active),"Nickel, Cobalt",16,Nickel (passive),"Nickel, Cobalt",16,0.23,Rural (Freshwater),0.01,0.758,2.0,2.0,0.001655,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.66,Marine (Seawater),5.0,0.5,0.3,10.0,0.032285,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Nickel (active),"Nickel, Cobalt",16,0.26,Marine (Seawater),5.0,1.404,0.3,2.0,0.144241,Unfavorable
Inconel (active),"Nickel, Cobalt",16,Silver,Silver,18,0.39,Rural (Freshwater),0.01,0.106,2.0,10.0,0.000387,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.77,Marine (Seawater),5.0,12.377,0.3,10.0,0.830359,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Silver,Silver,18,0.37,Industrial (Acidic Rain),0.1,3.918,2.0,10.0,0.064634,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Silver solder,Silver,18,0.36,Rural (Freshwater),0.01,0.664,0.3,10.0,0.002238,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Inconel (active),"Nickel, Cobalt",16,0.18,Marine (Seawater),5.0,0.371,5.0,2.0,0.009277,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.2,Marine (Seawater),5.0,0.08,5.0,2.0,0.00211,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.06,Industrial (Acidic Rain),0.1,1.261,1.0,1.0,0.006155,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.4,Industrial (Acidic Rain),0.1,2.405,5.0,1.0,0.058333,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.71,Rural (Freshwater),0.01,2.146,0.3,10.0,0.01306,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.65,Rural (Freshwater),0.01,1.201,0.1,5.0,0.008094,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.1,Rural (Freshwater),0.01,0.727,2.0,1.0,0.000609,Compatible
Chlorimet 2,"Nickel, Cobalt",16,Graphite,Graphite,20,0.41,Rural (Freshwater),0.01,0.87,2.0,10.0,0.003319,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.38,Rural (Freshwater),0.01,0.409,0.3,2.0,0.001565,Unfavorable
